ts_path	loc	rust_path	status	confidence	upstream_sha
crates/better-auth-rs-core/src/oauth2/reject-redirects.ts	70	crates/better-auth-rs-core/src/oauth2/reject_redirects.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/oauth2/utils.ts	70	crates/better-auth-rs-core/src/oauth2/utils.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/oauth2/validate-authorization-code.ts	190	crates/better-auth-rs-core/src/oauth2/validate_authorization_code.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/oauth2/verify.ts	408	crates/better-auth-rs-core/src/oauth2/verify.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/apple.ts	249	crates/better-auth-rs-core/src/social_providers/apple.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/atlassian.ts	133	crates/better-auth-rs-core/src/social_providers/atlassian.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/cognito.ts	281	crates/better-auth-rs-core/src/social_providers/cognito.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/discord.ts	170	crates/better-auth-rs-core/src/social_providers/discord.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/dropbox.ts	112	crates/better-auth-rs-core/src/social_providers/dropbox.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/facebook.ts	288	crates/better-auth-rs-core/src/social_providers/facebook.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/figma.ts	118	crates/better-auth-rs-core/src/social_providers/figma.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/github.ts	184	crates/better-auth-rs-core/src/social_providers/github.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/gitlab.ts	155	crates/better-auth-rs-core/src/social_providers/gitlab.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
